,Decidua,Decidua,Decidua,Decidua,Decidua,Decidua,Decidua,Decidua,SI,SI,SI,SI,SI,SI,SI,SI,LI,LI,LI,SIMeconium,SIMeconium,SIMeconium,SIMeconium,SIMeconium,SIMeconium,SIMeconium,SIMeconium,SIMeconium,SIMeconium,SIMeconium,LIMeconium,LIMeconium,LIMeconium,LIMeconium,LIMeconium,LIMeconium,LIMeconium,LIMeconium,Villi,Villi,Villi,Villi,Villi,Villi,Villi,Villi,Villi,Villi,Villi
Aloesin,19.17477854,19.78349349,19.20592648,19.10723899,19.4245192,19.28039795,19.43185192,20.75708123,19.37797073,19.27132956,18.30509104,19.61885131,20.04754227,23.286819,23.58840498,21.98401075,23.04090139,22.58288632,18.50154143,18.53019704,17.9998505,22.11899955,24.65059357,21.87566525,24.21007424,22.67579964,18.42918518,23.90949441,21.19321312,20.18713679,18.95379564,19.4837731,22.22281649,19.23813398,18.69982542,18.81053297,24.48227658,19.86212104,19.66472141,19.38443204,19.36522964,21.49946783,20.42746251,18.75233465,19.65366352,19.62439731,19.19242154,20.65782028,18.65533778
alpha-Aspartyl-4-hydroxyproline,19.41755663,19.85091608,19.6281342,19.99961921,19.91829408,19.18392335,19.18392335,19.91132886,20.49469512,19.22494564,22.48805423,20.60106986,19.66219949,21.69406468,22.1060993,19.65889807,19.723998,19.75769939,19.55141308,17.97781095,17.69573562,16.81057148,17.64957411,18.69532822,16.98090144,18.14747899,20.23692575,17.32977035,17.64040817,17.92371312,18.7802127,18.77144294,22.28603427,17.10337361,23.35104295,16.8462812,18.03571866,19.25207722,19.11703062,19.22494564,18.90297523,20.4147303,19.27817376,20.24947682,18.92286051,18.8481722,20.47502238,20.36194842,20.54168674
alpha-Curcumene,18.35565986,18.39959746,18.22474612,19.25207722,18.73270129,18.22135963,18.39959746,19.22494564,16.32065901,18.70581367,18.62722117,18.803798,22.04536783,19.90025851,19.96790768,21.62840972,20.59027618,19.99564189,20.09147817,21.9223332,21.98754661,23.00984932,21.1395018,18.16302307,24.38182276,19.94724689,21.52588026,22.00007757,18.67266022,20.22257204,19.14803884,18.39959746,20.04754227,22.99017311,20.25507137,18.82318302,20.68524487,20.89448076,17.587222,17.81904187,18.36070983,19.24995685,17.73660966,19.15924914,17.57024416,18.07321423,18.13948153,18.6207582,18.00370808
alpha-L-Arabinose,27.31996137,27.73880991,27.6719523,28.83323243,28.34175096,26.45234019,27.45600488,27.80611783,26.60687402,27.87581532,29.52086307,27.63373471,27.93900852,28.70239968,28.19682969,29.22515501,27.26556709,27.98220522,28.1224824,26.68494124,27.15016305,26.07536529,27.11909414,26.9563322,27.28877204,26.93844198,26.37342504,26.46210084,24.82593402,26.01346302,23.86398765,25.02330748,27.65320017,26.30154811,26.45234019,25.59813717,27.18657006,26.15492072,27.03088923,26.45234019,25.99829581,28.05654354,26.98879095,27.61543964,26.85585072,26.63245474,28.70239968,27.80611783,27.96234304
alpha-Sanshool,20.51392319,20.24677112,20.29396488,20.48759891,19.71389391,20.47791225,20.32226693,20.03354528,18.27208938,20.17597135,19.5540773,23.69372166,18.91232771,22.26817342,18.76026689,19.03310111,19.07201477,19.62256617,19.72689356,22.18745047,21.87161383,21.95506907,21.68274927,22.87426948,20.82713602,22.58798446,21.46587517,23.31061667,20.52951643,23.286819,20.81967323,23.20944664,18.24963432,22.06059615,19.28276816,22.21285854,22.05332186,19.04047573,23.08469818,21.14273327,20.84971005,20.04050246,23.6015957,19.61541526,21.23414896,22.71149715,20.07069347,20.19447267,19.92097321
Alphaprodine,22.06059615,21.48022312,21.23975956,21.73388793,21.11255318,21.6510226,19.58674376,18.83698836,17.21178625,21.04305166,20.60106986,24.54523001,18.40572869,22.75206312,19.44506057,19.90795692,20.88614014,19.20592648,19.23129521,22.41572272,21.66602133,22.5476067,21.63384201,22.63974153,21.19008526,22.6881991,21.71646809,23.42300573,19.1114633,23.69372166,19.16170436,23.10886056,17.72230512,22.07498127,17.53628385,22.47994087,22.04962412,20.55752265,23.42663139,20.18144746,19.18069582,20.95190822,23.11615906,21.57672972,20.28284948,23.53375481,21.52168832,21.46286031,19.98579403
Alprenolol,18.99889599,18.24963432,18.64155901,18.40572869,18.41185513,18.64155901,18.59884772,17.7580965,19.67819402,18.47900305,19.04969955,23.5959729,17.86919959,21.98401075,18.09580982,18.66274256,18.20971123,18.75233465,19.19576025,21.23704546,20.79285412,21.12737969,20.7135067,21.67551135,19.8654973,21.98754661,20.56776236,22.21285854,21.54370872,22.96271859,21.90594222,22.08520802,17.67634187,21.14602346,19.0886835,21.73124539,21.25274228,18.3133069,22.34445384,21.91373123,21.58609601,18.80122408,22.47147767,17.63211972,22.21991844,22.01409994,18.57138462,18.76026689,18.47018356
Altrenogest,17.73328149,17.60762338,17.65336288,17.72230512,17.4956145,17.63211972,17.51980152,17.4494437,17.82342779,17.79230259,17.45392619,17.92003369,21.23108815,17.78528532,17.89530754,18.2025533,17.70432169,18.15464145,18.37011634,19.32475818,18.65533778,21.23414896,17.80500005,17.24150674,19.07201477,18.28203318,17.38942294,19.32940029,18.36374324,17.35024369,21.26394829,18.10578887,21.66602133,22.16962896,22.59201116,22.28066419,19.21150443,21.20679309,17.76132553,18.05404651,17.83989861,17.45894356,17.7691117,19.29880665,18.33892072,17.86557475,17.90289844,17.43638867,17.42488431
Alvameline,20.3527305,20.26615139,20.21962998,20.29113807,20.24677112,20.16404291,20.51769509,19.64229358,19.40951648,19.77391554,19.8654973,18.53642251,18.64846206,18.85586011,19.28039795,18.65183126,19.24427233,19.15138335,19.64552093,18.17719559,17.66795066,18.75547232,18.12008723,18.58428641,17.21178625,18.54826241,17.82342779,17.605261,18.74906059,18.51888224,22.73781714,21.33994199,24.85982497,17.72900913,20.14097416,18.65533778,18.01146293,18.65848941,19.32475818,19.3072841,19.15404004,20.3913047,19.42823678,20.10338322,19.26774869,18.93114373,20.16080429,20.07443299,20.26615139
Amantadine,18.21700536,17.87302259,18.42002047,17.19724652,17.78910692,17.70751566,17.97358903,19.09588484,18.91571448,17.9348325,16.53441572,19.53070916,16.38266594,18.7397156,16.72738365,16.59146901,16.85995242,17.220953,17.03633502,18.75804222,18.32268265,18.21700536,17.92003369,19.13527628,18.1510117,19.23129521,18.26951556,19.0431442,21.36842687,19.95703938,22.00007757,19.30435812,16.65705109,18.35852052,20.80402153,18.79538537,18.62430514,16.61421034,19.33497247,22.14555679,21.79499563,18.15850732,20.14470716,17.79639297,22.13082125,19.87840094,17.60762338,17.88044826,17.59394668
Amicarbazone,19.20903815,19.95037438,19.83487491,20.75393909,20.3913047,19.88446374,19.96534645,20.27985271,21.47545656,20.27985271,19.89742488,18.45150553,19.12326354,18.29833717,19.50298249,19.6492386,20.2108308,20.03354528,20.26962221,17.891203,18.00370808,17.07038523,17.85488187,18.55186616,17.38041728,18.13948153,17.28798591,17.71497589,18.22135963,18.60305762,17.48657469,17.81904187,18.26683632,17.15852443,17.04818262,17.35769474,18.17365578,18.97702077,19.37115163,19.44506057,19.28039795,20.82713602,19.3326564,20.7757707,19.38778838,19.10473706,20.81745909,20.76645042,21.0583769
Aminocaproic acid,21.46939617,23.00001503,21.79499563,22.5656899,22.61777515,21.09342361,23.11615906,22.40751779,19.70570019,21.11979657,22.3076818,21.18580176,20.72395502,21.23108815,22.20417347,20.92308734,20.50843755,22.37787746,20.95637458,21.17896116,18.8903772,18.0705193,20.63101056,22.09815922,20.47998738,21.85779761,17.76132553,20.41148433,21.62840972,18.90947447,21.36528842,20.55752265,22.97944031,19.82898419,20.2255217,18.75547232,21.16725287,21.73124539,20.87481436,21.70578351,20.07758604,21.74795397,21.16232929,22.04109286,19.94724689,20.08608953,23.72440753,22.20753446,22.76362365
Amitraz,18.83973298,18.59615961,22.58798446,20.85996667,19.6281342,18.7397156,18.72269764,23.20565498,19.29880665,18.71141576,18.9571973,17.17919433,17.7580965,17.57024416,18.10874348,17.82759008,18.13948153,18.40572869,19.58150621,16.79602436,16.79602436,16.53441572,17.18787476,18.02921212,16.60582606,17.8161691,16.79602436,16.69347227,17.31141671,18.04945291,17.21178625,17.60164693,17.19724652,16.77027819,15.66495596,17.37678443,17.44435243,17.68056589,17.84339083,17.63477461,18.34745214,18.81676776,17.63211972,18.18799515,17.82759008,17.41139123,20.76645042,18.75547232,20.77255824
Anabasine,26.24203963,25.54123757,24.21007424,25.55903107,24.04517374,23.72440753,21.71297088,25.63203227,19.41243217,23.42300573,22.09815922,20.59820169,23.05148547,19.22184169,21.42867412,24.00008528,23.74919011,23.38256565,22.76084022,19.12983957,19.10723899,19.24995685,18.98921025,20.97536841,19.79564655,20.3551337,18.54251882,22.89946054,19.60704562,20.62455618,18.65848941,19.31944576,21.37213927,23.63457514,18.73079944,18.7397156,19.15924914,24.42228901,20.07758604,19.90795692,20.04754227,24.53531773,20.38759492,25.151671,20.66458611,22.23539477,23.83155253,24.26500919,24.52839074
Anastrozole,18.26683632,18.18060581,18.23637893,18.32953292,18.12008723,18.37011634,18.37677878,18.20971123,23.58840498,20.84370593,19.88446374,18.75804222,22.01409994,20.40102066,22.53179998,22.69961749,20.54168674,18.69982542,18.03571866,22.13366381,23.64983373,20.66137516,21.94675655,19.63489484,17.89530754,19.61277583,20.44547639,21.61177245,18.7090502,19.73974731,20.60671839,19.30157261,18.62430514,17.65336288,21.90894743,19.07201477,20.57993478,21.03403109,17.48157253,17.57500478,17.51126262,18.06142593,17.46896666,19.14520045,17.6175268,17.38041728,18.34236228,18.09908467,17.99140645
Androsterone sulfate,23.77506179,19.87840094,21.50662042,22.8092849,25.7979914,22.80159491,22.24001221,24.50750368,18.0251126,21.77690495,21.59540031,19.43831784,20.21962998,19.38443204,21.91869022,20.94098417,18.04271581,19.72966951,17.71497589,20.48373327,23.63457514,22.78907418,24.16255248,21.55576395,18.67533567,18.72544333,22.86881111,19.81364659,18.09264174,20.7376072,21.07990362,19.95342813,24.01731013,26.53768738,23.55641325,24.27081918,19.66777342,20.29396488,22.3076818,16.46384267,21.89425384,21.14960135,16.9392641,22.12252702,21.31809293,18.47303893,23.19280034,22.43648044,24.02276467
Anhydroecgonine Methyl Ester,21.17468824,21.92634379,20.85666221,21.91373123,21.27549855,21.12303882,21.52588026,20.32517104,19.44506057,21.25274228,20.31754123,19.14159056,19.58674376,19.04633682,19.91132886,19.40289958,20.70571591,20.30002427,20.42746251,18.82318302,19.32940029,17.68056589,18.73550691,20.7429718,19.28526187,19.39660619,18.84226223,18.55186616,19.70011257,19.75067326,19.26774869,19.63201889,19.07201477,19.326447,18.35852052,19.05928557,19.60704562,19.72689356,19.82898419,19.71927783,19.66219949,21.28833649,19.940547,21.05073345,19.97645867,19.98874156,20.6922712,21.410272,20.63439782
Anisole,22.29014429,22.8092849,22.95207912,23.10886056,23.68751871,21.96375453,22.49667239,22.94676477,18.37240028,21.10754602,20.3551337,18.81352016,19.84193288,17.23210299,20.10012988,18.94116189,21.6366946,20.71989645,17.96341575,19.27473554,17.06522722,19.38147069,17.00155449,20.2255217,17.05921329,19.73232345,19.22494564,19.0886835,17.51126262,20.08069826,20.01434391,19.97413621,19.8106568,19.81932641,19.26774869,19.92748851,19.58393213,17.57024416,22.56075782,21.81045121,22.53566967,24.49972443,22.9853815,23.74919011,21.93371006,22.03361418,23.449772,23.7071951,24.3036418
Ankorine,17.66795066,17.46896666,17.68976754,17.68056589,17.56593314,17.68475477,17.62105985,17.47663424,23.93592767,17.32977035,17.23210299,17.27969019,19.00880021,16.35000424,17.35407047,18.23890189,17.16428613,16.77723849,19.38147069,19.00880021,20.16080429,18.1510117,18.69532822,17.07893078,19.80647831,17.27340967,19.84861692,17.99140645,17.15852443,16.64187775,18.28203318,17.47235624,20.24412436,21.95189178,17.84339083,19.72207718,17.32977035,17.65336288,16.98727259,17.9595185,17.60762338,17.30691271,17.17919433,18.10578887,18.02921212,17.3977994,17.6111505,17.47235624,17.35024369
APAZIQUONE,19.26774869,18.90016852,19.25443444,19.59017442,18.74906059,18.39698958,18.00788108,19.90295242,24.51199972,18.37677878,19.47333075,18.59058124,18.8903772,18.39959746,18.15850732,19.71927783,18.28498123,18.7397156,17.92728667,17.66795066,17.48157253,19.07201477,18.04580689,19.260331,17.201546,18.9819843,18.35565986,18.03248805,18.28878289,18.61713396,18.21314748,18.08344323,20.60671839,17.65832847,19.42823678,17.80875179,18.02199008,19.28526187,18.78288295,18.59615961,18.66943232,18.09580982,18.81053297,19.29061545,18.84556505,18.54826241,18.63934327,18.60305762,19.47333075
Aphidicol-16-ene,19.74802296,19.68748146,19.62439731,19.87160851,19.90795692,19.70011257,19.81364659,19.43831784,19.12011333,19.92097321,20.80013616,19.05305769,19.20903815,20.81745909,21.66222644,20.31389302,19.38778838,20.11967684,21.10754602,17.90836151,18.33221854,17.83091569,18.96396097,19.82297721,18.64475698,18.81676776,20.06097053,18.26313595,18.27534103,20.05395069,17.92371312,18.23242849,20.24947682,17.83989861,20.53788905,18.01780563,18.76347906,19.91132886,18.97943881,18.76347906,19.22494564,19.74802296,18.71709598,19.28039795,19.13220894,18.56822123,20.29695382,19.83880644,20.02818357
Aplotaxene,22.29475022,21.17468824,21.5186352,22.63596148,21.69406468,21.33573421,21.49115678,20.15515529,18.9571973,20.95637458,20.04372225,19.29880665,20.26962221,18.88004148,19.88152997,19.67819402,21.01520482,20.26270812,20.92728616,19.5689877,18.92841771,19.62439731,18.76677552,19.98874156,18.14747899,19.77391554,19.83487491,18.97105897,20.10338322,19.63834118,20.72772655,20.63101056,19.5458651,19.04633682,19.57230219,19.70011257,20.39485751,21.01230561,20.6041039,20.73051014,20.70571591,20.84370593,20.24412436,21.94675655,19.723998,21.11979657,21.33994199,21.3961977,21.28833649
Apomorphine,19.75067326,19.45332552,19.67819402,19.63201889,20.34889428,19.64229358,19.65155401,19.28039795,16.95167888,19.44081625,22.46669805,19.06238381,20.67567178,20.95637458,20.83368911,20.30616741,21.11979657,21.20679309,24.44068063,17.81250584,19.25715978,18.63665559,21.7735357,22.06059615,19.4837731,19.04969955,19.21150443,19.36207929,18.33529315,22.40105756,18.28878289,18.59884772,22.05332186,19.85091608,19.3072841,18.47588977,18.12719803,23.38256565,19.76783326,18.787674,18.91232771,19.46020567,18.69982542,18.66274256,18.78288295,18.58067586,19.76783326,19.6281342,19.3463999
apronalide,18.69247802,19.5540773,18.90297523,18.72544333,19.2465899,18.47588977,19.70277784,18.32268265,24.77467319,18.54251882,17.90836151,17.94968409,17.34578722,17.7580965,17.83775722,17.65832847,18.54251882,18.27847793,17.95314625,16.90587213,16.74094374,18.72544333,16.72091961,17.36180689,16.71458531,17.32439781,19.76783326,17.45392619,17.37678443,17.36180689,17.9559103,17.48657469,18.65848941,17.50728122,17.07515074,20.29695382,17.00155449,17.38942294,17.78910692,17.72230512,17.72559858,18.62722117,17.88044826,18.58786559,17.42488431,17.64559945,19.05305769,18.63036737,18.65848941
Aranidipine,17.94341479,21.96026547,17.9348325,19.12983957,18.21314748,21.63995851,19.7352309,18.99889599,18.67811109,17.80875179,20.08069826,18.29582234,21.46939617,18.99889599,20.93436377,20.28736913,18.79865474,19.4245192,19.46020567,22.46669805,21.25977893,23.27710385,21.96751146,19.80647831,19.71615204,21.33994199,22.45533263,21.80377011,19.23813398,18.77754997,22.50974422,19.99961921,24.08822712,21.55163208,22.18745047,23.57056236,21.84997816,21.50662042,18.48268255,18.35565986,18.12346921,17.78528532,18.45415147,18.55186616,19.63201889,18.54251882,18.87190486,21.19912747,19.01738349
Arbutin;Arbutoside,26.23149943,26.06319887,25.91963861,26.09680821,26.38700256,26.08811885,26.61837431,25.67444491,23.6679475,26.00609777,24.9336111,23.3870803,24.56670791,22.91831158,25.12766351,25.219086,26.49869416,25.43409229,26.27727071,25.72093567,25.12766351,24.18691041,24.83218497,25.57305041,23.51466953,25.22696416,24.41650593,25.12766351,26.13555035,25.26688792,25.28150313,26.5476744,24.45243137,24.94744898,24.66255248,24.56173199,25.21192217,25.40063273,25.47603913,25.12766351,24.02276467,25.7748861,25.95525592,26.5476744,24.34376349,25.20369028,25.81591,25.55903107,25.65828391
Arenediol,16.35000424,16.28384231,18.05404651,16.45262163,17.91582884,18.01146293,18.32268265,17.11420103,16.72091961,17.257265,16.64937757,20.30616741,17.24659226,19.21468658,17.02861236,16.61421034,17.92728667,16.54223854,17.24659226,16.47287591,18.29582234,17.19724652,17.07038523,15.89414225,18.62430514,16.60582606,16.88772751,18.83973298,17.99544452,19.99961921,16.72091961,16.39924701,16.64937757,17.81904187,16.99617174,17.44035689,17.40261505,16.1730309,18.3133069,21.60209222,21.64728048,16.96019526,19.34858778,17.85488187,22.56075782,21.48709735,16.37067168,17.80875179,16.28384231
Argininosuccinicacid,23.65478831,24.85982497,24.27598987,24.27598987,23.80064342,24.34376349,24.81067152,24.79851892,20.2011406,25.88734383,25.78531814,24.28621768,24.74808211,25.18966001,26.29066406,26.52444365,25.48548613,24.87170788,24.95451828,23.33078553,24.36680875,21.8211785,24.84569997,23.20565498,23.6015957,23.53375481,22.67189698,23.94760267,21.7735357,23.84831717,20.26615139,20.81745909,23.13637773,19.63834118,21.83214103,21.3961977,24.42228901,23.63060478,23.16536015,22.79747593,22.20417347,24.72379249,23.77506179,24.12844832,22.39731068,21.58609601,24.68706245,24.7864424,24.70409886
asn-leu,22.36269235,22.34445384,22.53566967,22.16255812,22.31597575,22.14555679,22.28066419,22.20417347,22.50468116,22.42884782,23.43468743,21.7647497,21.31452969,22.86881111,23.26213743,22.19590271,22.00007757,21.88311034,21.90894743,21.06863755,20.76645042,20.65782028,21.33284566,21.74795397,20.09435705,21.00677697,20.81477859,20.25887756,20.4147303,21.01953154,22.57846646,26.29066406,23.57521819,19.96534645,23.60595959,20.04050246,20.56088522,21.29141508,21.19607572,20.57379408,20.68524487,21.86433775,20.71030776,21.9761011,20.449611,20.25272801,22.01882869,22.21645807,21.88311034
asn-val,21.49472968,21.46587517,21.30698018,21.40216885,21.45774705,21.13197661,21.41454853,20.94098417,21.5186352,21.07728719,22.19248381,21.6590801,20.07069347,21.82774928,21.58298896,20.45219973,20.98221024,20.83368911,20.90841347,19.41755663,19.20903815,18.64475698,19.34858778,20.18713679,18.45415147,19.66472141,19.15924914,18.81352016,19.78349349,19.68521118,22.17425751,25.57305041,24.70409886,18.36070983,23.67218665,18.97943881,19.47333075,20.16080429,20.40102066,20.27985271,19.93297249,21.62013002,20.35888319,21.54370872,19.98016054,19.87460159,21.58033325,21.62447276,21.66222644
Asp-Trp,18.7397156,18.31613676,19.61885131,18.259861,19.57230219,18.88374359,18.74906059,18.3451774,19.28754296,19.76438594,20.87198143,23.07199717,18.23637893,21.32140843,22.14555679,18.50154143,18.10578887,18.83066014,20.09754292,17.86557475,18.44911678,18.39959746,19.56664088,19.10723899,17.26683295,17.79639297,19.79564655,18.03571866,18.43860535,18.3807804,21.95506907,24.11802844,20.73051014,19.07524459,23.90412701,20.56419928,17.76474556,18.97943881,19.03310111,18.41185513,19.19967302,19.63489484,18.40572869,19.85091608,18.93434252,18.9510489,18.82801891,18.16953246,20.1258604
Asparaginyl-4-hydroxyproline,21.80634786,20.87864781,21.76941484,21.16725287,21.06168122,21.86433775,21.02974388,21.11979657,26.16221532,21.01953154,20.98221024,19.28039795,20.57158732,21.19321312,20.60106986,21.53803598,20.74774706,21.21065991,21.06168122,19.65366352,22.02666143,20.08608953,21.03885373,20.55246494,22.57454144,19.9627974,21.49472968,19.46790759,20.207233,19.61885131,18.00788108,19.87840094,22.36968046,22.10246475,22.74241884,22.16962896,20.76393,20.34889428,19.86212104,19.78589106,20.36194842,22.37787746,20.02152762,21.83866641,20.09435705,19.5749759,21.51454377,21.60209222,21.58609601
Asparenomycin A,21.33994199,18.39307269,18.42307704,18.56236906,19.126186,18.34745214,18.62722117,18.36070983,29.67489783,19.75769939,18.38406565,17.57832279,18.67266022,18.00370808,19.37115163,18.26313595,19.71389391,18.66274256,20.11256848,18.67811109,19.68521118,18.65183126,19.28526187,17.85113315,22.05675089,18.1161608,18.82318302,18.16617694,17.67273616,17.76474556,18.75233465,17.96713966,19.17210555,22.61368952,20.29695382,18.28203318,18.90016852,20.11256848,17.93947388,17.91182448,17.98086299,18.34745214,17.91182448,18.28878289,17.81904187,17.68475477,18.54503606,18.51888224,19.36775237
Auraptene,18.63934327,18.69247802,18.72269764,17.68475477,18.52231422,17.9998505,18.30509104,19.68521118,18.18060581,18.0804212,17.00690444,19.1114633,19.81932641,18.30211793,19.0106925,16.88238237,17.5323397,17.9559103,18.259861,18.88700033,18.59884772,19.22494564,18.59884772,18.60611722,18.10874348,18.08940073,22.27582948,18.53019704,18.63934327,19.28754296,19.96790768,19.03025523,20.23391852,21.18274296,20.57379408,20.75085609,18.2025533,19.00543869,19.13527628,19.64552093,19.326447,19.03644613,19.03310111,18.35238502,19.75406206,19.37446288,18.0804212,18.19204978,17.85865711
Azadirachtin,20.81967323,23.15197859,21.80634786,24.83218497,22.87868824,22.69961749,22.51734068,23.83691229,17.99544452,22.9708677,23.29539136,21.05073345,23.28146927,21.31452969,22.8506797,23.9143055,23.46478319,23.97882627,23.26213743,23.05612607,22.29014429,23.39852985,22.33724813,22.96644128,21.61604344,22.9223431,23.49692541,22.33724813,22.34445384,21.66602133,23.10886056,22.8506797,24.38182276,24.28197104,21.83866641,24.82593402,22.55632039,23.05148547,23.28146927,21.01520482,22.36269235,23.69372166,22.69176686,24.33518547,22.97944031,22.24310025,23.57056236,24.11802844,24.1001739
Azafrin,19.9438865,19.73974731,19.75406206,20.03102078,19.73232345,19.83880644,19.97090692,19.44506057,21.34814405,19.42199433,19.04047573,18.85020683,20.40458447,18.56822123,20.21272937,19.21150443,19.58674376,19.90295242,19.43491046,20.7376072,21.41856354,23.53375481,20.24021641,18.57465734,23.26738273,19.71389391,24.74421141,18.73079944,19.78589106,18.41630471,21.02974388,22.32000126,21.19912747,23.22357651,23.61175654,19.55717778,19.02646235,19.99961921,18.81352016,18.56579343,18.73270129,19.59017442,18.77144294,19.83880644,18.24963432,18.51159229,19.62256617,19.71389391,19.45719106
AZT,24.08233243,23.92494017,23.20565498,22.35295349,23.22875458,23.7796515,21.86433775,23.98461036,21.36528842,21.91869022,21.86775234,19.00543869,22.00007757,20.97206879,21.1354065,21.7236974,20.38759492,21.41454853,22.14161702,22.38525638,20.52280302,20.28736913,20.73368604,22.99017311,19.27817376,20.05713442,23.55641325,18.54251882,19.60400268,19.38443204,20.33141508,23.33687242,25.12766351,19.7352309,23.32124538,20.07443299,19.84455113,19.63834118,21.18580176,20.57687042,20.29113807,22.38525638,21.72679594,22.03014087,20.41794895,20.06738061,22.61777515,22.08166386,22.12252702
Benalaxyl,24.63656162,24.73076127,24.52140797,24.89714902,24.10593121,21.62447276,24.59854624,24.33518547,17.10337361,23.95834085,21.94675655,19.76006032,22.47147767,21.1395018,23.95358906,22.75206312,26.19156053,23.20565498,23.84245664,21.3961977,22.3076818,19.21150443,19.76783326,23.16166733,20.24677112,19.58393213,21.22135804,20.21272937,20.52026861,18.5042455,18.34236228,18.67811109,19.74586458,17.80875179,17.42844374,18.45415147,20.80013616,21.86775234,23.87442986,21.96751146,22.08166386,24.08233243,23.73892033,24.00560554,22.91831158,19.61541526,24.45243137,24.23823626,24.82123716
bendazol,22.55632039,22.87426948,24.65059357,17.87633065,21.71297088,24.11802844,22.66783002,24.12342604,17.87302259,22.20417347,21.58033325,19.74802296,22.8907336,18.71709598,23.22875458,25.18119984,24.4353941,21.83866641,21.06863755,21.23975956,20.46367918,18.75233465,20.65782028,22.5656899,17.14004639,22.46669805,17.5508111,23.79640495,20.22257204,22.366381,19.5689877,21.98401075,17.34578722,18.97943881,17.587222,21.11631301,21.32140843,18.787674,22.71651258,19.98016054,19.78589106,25.30673708,22.18428512,22.87868824,20.86369081,21.32959885,23.73011269,23.10441632,24.80535388
Benoxinate,17.35024369,17.3155313,17.22872061,17.56593314,17.17495603,17.33995729,17.1354275,17.69573562,20.7429718,17.24150674,17.47235624,19.69677581,16.60582606,18.17365578,16.58261871,16.83128581,17.1354275,17.16428613,16.93407165,17.64040817,19.0886835,19.56664088,18.64475698,19.35557786,17.80875179,19.5689877,17.30146525,18.44911678,23.20113972,18.47018356,23.41393176,19.940547,17.07038523,19.50694831,20.65410298,17.9861632,19.25715978,16.74094374,19.59606717,23.80064342,23.21444535,17.2246136,20.59820169,17.33995729,24.02647486,21.53403702,17.35407047,17.14004639,17.201546
Benzaldehyde,25.70317962,25.22696416,25.57305041,25.25711099,25.32131146,25.43409229,25.55903107,25.56713387,22.15085121,25.95525592,26.21247116,24.92653904,25.06018846,25.35656885,26.14406266,25.84803208,25.44173328,25.50436135,25.58931498,24.67464562,24.9793738,23.7701401,25.40063273,25.37984386,24.56173199,25.20369028,24.7864424,24.04517374,24.13937376,25.11946977,24.41650593,25.90407564,25.99829581,22.90785526,23.67792966,23.99582083,24.7864424,25.01748441,24.75476578,24.02647486,24.22637803,24.9979226,24.23823626,25.11107806,23.45493968,23.66294925,25.24303342,25.37984386,25.11946977
Benzamide,21.48022312,21.11255318,21.33284566,21.07323828,20.97944031,21.34814405,21.36528842,17.96341575,19.30157261,18.30905547,19.43185192,24.39406245,19.25715978,22.93829907,19.27817376,19.15404004,17.67273616,20.11616775,20.17277129,22.6553815,21.79114061,22.74241884,21.7647497,22.83887103,21.03403109,22.83887103,21.46286031,23.14546465,21.28833649,24.02276467,21.22471281,23.24148822,18.91232771,21.86143331,19.4148682,22.63221551,22.07076089,19.77061125,23.29539136,22.11437784,21.07990362,21.29526068,23.66294925,21.45402433,22.26393426,24.03992012,18.43860535,18.1510117,20.64761908
Benzene,33.13969102,32.27943427,33.13969102,32.84648998,32.51533884,32.84648998,33.13969102,32.84648998,29.6228114,33.13969102,32.51533884,33.13969102,32.51533884,32.27943427,32.84648998,32.84648998,32.84648998,32.27943427,31.99236523,32.51533884,32.27943427,31.75912549,32.27943427,32.27943427,32.27943427,33.13969102,32.84648998,32.51533884,33.13969102,31.99236523,33.81881049,33.13969102,33.81881049,31.24119552,33.13969102,32.84648998,32.51533884,31.99236523,32.27943427,31.75912549,32.27943427,32.27943427,31.99236523,32.27943427,31.55221054,31.99236523,32.27943427,32.51533884,32.27943427
Benzocaine,19.19576025,17.68475477,16.56732812,17.39388746,17.63477461,19.52584968,19.05928557,18.35852052,21.04305166,20.55752265,19.02369066,18.36374324,19.28039795,17.94341479,18.63665559,19.79564655,19.84861692,17.14425742,19.7352309,16.22831287,17.74977953,17.87633065,18.65848941,18.07649508,17.94968409,17.5283372,18.56236906,17.55891321,18.48268255,18.46756101,18.8074101,21.44995068,18.54251882,16.77723849,20.34267846,17.55891321,15.98003614,15.94939984,16.99617174,19.47071484,19.00880021,19.38975152,17.12043222,17.70432169,19.62256617,18.32268265,18.74305647,17.54194301,17.50403917
benzocatechol,22.09361144,19.2465899,21.83866641,21.76941484,21.48709735,22.0895859,21.99585615,21.22471281,19.23813398,21.06863755,18.73079944,23.55134578,19.77695333,21.39261542,19.89091266,18.71141576,21.04305166,18.48533132,19.0886835,20.01434391,20.17842931,20.83738784,20.70571591,21.43550689,19.63201889,21.14273327,20.00307278,21.98401075,21.00058098,22.66436947,21.64268154,22.45051325,18.9819843,20.68863753,20.97944031,20.84022548,20.37845754,20.00307278,22.16962896,21.85779761,21.48349668,18.94541958,22.1103632,22.34116952,22.18428512,23.09009471,21.50270445,19.18392335,21.73388793
